Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
1 Rue de WolfenbÃ¼ttel,4,4,0,1,SÃ¨vres,STATION,92310,SÃ¨vres/WolfenbÃ¼ttel/1,station,ok,2018,4,7,10,19
12 rue Larmeroux,1,1,0,0,Vanves,STATION,92170,Vanves/Larmeroux/12,station,ok,2018,4,5,17,18
17 rue Jean-Pierre Timbaud,1,1,0,0,Fontenay-Sous-Bois,STATION,94120,Fontenay-Sous-Bois/Jean-Pierre Timbaud/17,station,ok,2018,4,5,9,38
15 bis rue de Tolbiac,2,2,0,0,Paris,STATION,75013,Paris/Tolbiac/15,station,ok,2018,4,8,18,6
8 rue de Rome,4,4,0,0,Rosny-sous-Bois,STATION,93110,Rosny-sous-Bois/Rome/8,station,ok,2018,4,3,22,3
98 avenue Albert 1er,0,0,0,0,Rueil-Malmaison,STATION,92500,Rueil-Malmaison/Albert 1er/98,station,ok,2018,4,5,6,55
107 Quai de Valmy,1,1,0,1,Paris,STATION,75010,Paris/Valmy/107,station,ok,2018,4,3,19,16
5 rue de Mesly,3,3,0,0,CrÃ©teil,STATION,94000,CrÃ©teil/Mesly/5,station,ok,2018,4,1,8,53
134 boulevard National,6,6,0,0,Nanterre,STATION,92000,Nanterre/National/134,station,ok,2018,4,3,13,16
2 rue Henri Martin,5,5,0,0,Boulogne-Billancourt,STATION,92100,Boulogne-Billancourt/Henri Martin/2,station,ok,2018,4,3,1,24
2 avenue de l'Ãpi dâOr,5,5,0,0,Villejuif,STATION,94800,Villejuif/Ãpi d'Or/2,station,ok,2018,4,5,17,34
36 Boulevard Louise Michel,2,2,0,2,Gennevilliers,STATION,92230,Gennevilliers/Louise Michel/36,station,ok,2018,4,9,19,23
24 Avenue d'IÃ©na,3,3,0,0,Paris,STATION,75016,Paris/IÃ©na/24,station,ok,2018,4,5,14,20
9 rue Ernest Renan,3,3,0,0,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Ernest Renan/9,station,ok,2018,4,1,16,1
33 boulevard Carnot,0,0,0,0,Bourg-la-Reine,STATION,92340,Bourg-la-Reine/Carnot/33,station,ok,2018,4,6,19,26
90 boulevard National,0,0,0,0,La Garenne-Colombes,STATION,92250,La Garenne-Colombes/National/90,station,ok,2018,4,7,13,13
32 boulevard Jean-Baptiste Oudry,2,2,0,0,CrÃ©teil,STATION,94000,CrÃ©teil/Jean-Baptiste Oudry/32,station,ok,2018,4,7,23,55
181 quater Avenue de Clichy,0,0,0,1,Paris,STATION,75017,Paris/Clichy/181,station,ok,2018,4,1,19,39
108 Rue Balard,0,0,1,0,Paris,STATION,75015,Paris/Balard/108,station,ok,2018,4,2,17,41
76 rue Botzaris,0,0,0,0,Paris,STATION,75019,Paris/Botzaris/76,station,ok,2018,4,2,11,46
